core,depth,depth_scaled,color,sample_mass,spectral_file
ML22_586,1,13.1,Black,0.0032,GB22_601_Absorbance__32__17-17-00-182
ML22_586,1.5,14.3,Green,0.0038,GB22_601_Absorbance__33__17-17-33-628
ML22_586,2,15.5,Black,0.0048,GB22_601_Absorbance__34__17-18-44-127
ML22_586,2.6,17,White,0.0051,GB22_601_Absorbance__35__17-19-24-578
ML22_586,3.2,18.5,Grey,0.0046,GB22_601_Absorbance__36__17-20-01-157
ML22_586,4,20.4,Black,0.0043,GB22_601_Absorbance__37__17-20-39-823
ML22_586,6.1,25.5,Green,0.004,GB22_601_Absorbance__38__17-21-20-108
ML22_586,6.8,27.2,Black,0.0025,GB22_601_Absorbance__39__17-22-03-533
ML22_586,6.9,27.5,White,0.0067,GB22_601_Absorbance__40__17-22-33-507
ML22_586,7.4,28.7,Grey,0.0036,GB22_601_Absorbance__41__17-23-44-084
ML22_586,14.6,46.2,Black,0.0041,GB22_601_Absorbance__42__17-24-45-597
ML22_586,15.3,47.9,Green,0.0108,GB22_601_Absorbance__43__17-25-32-537
ML22_586,16,49.6,Black,0.0065,GB22_601_Absorbance__44__17-26-52-831
ML22_586,16.8,51.5,Grey,0.011,GB22_601_Absorbance__45__17-27-40-265
ML22_586,17.7,53.7,Black,0.0081,GB22_601_Absorbance__46__17-29-20-912
ML22_586,18.6,55.9,Green,0.015,GB22_601_Absorbance__47__17-29-55-782
ML22_586,19,56.9,Green,0.0098,GB22_601_Absorbance__48__17-30-48-926
ML22_586,20.5,60.5,Black,0.0086,GB22_601_Absorbance__49__17-31-39-014
ML22_586,21.1,62,Grey,0.0094,GB22_601_Absorbance__50__17-32-16-962
ML22_586,25.8,73.4,White,0.0089,GB22_601_Absorbance__51__17-32-57-318
ML22_586,25,71.5,Black,0.0103,GB22_601_Absorbance__52__17-33-38-715
ML22_586,27.5,77.5,Black,0.0042,GB22_601_Absorbance__53__17-34-32-685
ML22_586,28.4,79.7,Green,0.0077,GB22_601_Absorbance__54__17-35-19-678
ML22_586,30.9,85.8,Black,0.0132,GB22_601_Absorbance__55__17-36-19-634
ML22_586,32.8,90.4,Grey,0.0082,GB22_601_Absorbance__56__17-37-24-227
ML22_601,12.7,4.2,Black,0.0041,GB22_601_Absorbance__8__16-51-52-018
ML22_601,12.9,4.4,Grey,0.0102,GB22_601_Absorbance__9__16-52-50-366
ML22_601,3.8,-4.7,Green,0.0022,GB22_601_Absorbance__12__16-55-16-034
ML22_601,4,-4.5,Black,0.0055,GB22_601_Absorbance__13__16-56-19-228
ML22_601,7.2,-1.3,Black,0.0051,GB22_601_Absorbance__14__16-57-04-267
ML22_601,7.4,-1.1,Grey,0.0064,GB22_601_Absorbance__15__16-58-06-807
ML22_601,16.6,8.1,Green,0.0058,GB22_601_Absorbance__10__16-53-43-434
ML22_601,16.7,8.2,Black,0.0031,GB22_601_Absorbance__11__16-54-27-418
ML22_601,29.3,20.8,Green,0.0027,GB22_601_Absorbance__17__17-00-18-125
ML22_601,29.6,21.1,Grey,0.0024,GB22_601_Absorbance__18__17-01-04-067
ML22_601,12.1,3.6,Black,0.0047,GB22_601_Absorbance__7__16-50-38-321
ML22_601,12.4,3.9,Grey,0.0076,GB22_601_Absorbance__6__16-49-43-510
ML22_601,51,42.5,Green,0.0054,GB22_601_Absorbance__23__17-04-43-793
ML22_601,51.3,42.8,Black,0.0032,GB22_601_Absorbance__24__17-05-28-405
ML22_601,25.5,17,Light Grey,0.0058,GB22_601_Absorbance__16__16-58-58-995
ML22_601,36.1,27.6,Green,0.0024,GB22_601_Absorbance__19__17-01-53-924
ML22_601,36.3,27.8,Black,0.0047,GB22_601_Absorbance__20__17-02-48-463
ML22_601,62.8,54.3,Black,0.0033,GB22_601_Absorbance__25__17-06-01-534
ML22_601,63,54.5,Grey,0.0021,GB22_601_Absorbance__26__17-06-43-309
ML22_601,45.2,36.7,Black,0.0028,GB22_601_Absorbance__21__17-03-29-035
ML22_601,45.6,37.1,Green,0.0032,GB22_601_Absorbance__22__17-04-06-815
ML22_601,83.5,75,Green,0.0036,GB22_601_Absorbance__27__17-07-28-799
ML22_601,83.6,75.1,Black,0.0048,GB22_601_Absorbance__28__17-08-08-912
ML22_601,95.3,86.8,Green,0.0039,GB22_601_Absorbance__29__17-08-45-694
ML22_601,95.5,87,Black,0.0057,GB22_601_Absorbance__30__17-09-38-553
